date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:46:12	1696/1696	------	200	untouched ('OK')	text/plain	etag:W/%222387-604e53e1b573c-gzip%22	https://www.navyfederal.org/robots.txt		(from )
01:46:12	96499/96499	------	200	untouched ('OK')	text/html	etag:%2217880-604e5349f6670-gzip%22	https://www.navyfederal.org/	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/index.html	(from )
01:46:12	0/0	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:30:23%20GMT	https://www.navyfederal.org/assets/images/nfcu-logo-bluegrad-800.jpg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/assets/images/nfcu-logo-bluegrad-800.1.delayed	(from https://www.navyfederal.org/)
01:46:12	1150/1150	------	200	untouched ('')	image/vnd.microsoft.icon	etag:%2247e-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/images/favicon.ico	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/images/favicon.ico	(from https://www.navyfederal.org/)
01:46:12	254/254	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:31:00%20GMT	https://www.navyfederal.org/investment-services.html	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/investment-services.2a.delayed	(from https://www.navyfederal.org/)
01:46:12	17354/17354	------	200	untouched ('OK')	image/svg+xml	etag:%220x8DAB230217EC88C%22	https://www.navyfederal.org/content/dam/logos/nfcu/svg/nfo-fom-logo.svg	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/dam/logos/nfcu/svg/nfo-fom-logo.svg	(from https://www.navyfederal.org/)
01:46:12	8117/8117	------	200	untouched ('')	image/png	etag:%221fb5-60401626c3140%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/images/nfo-app.png	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/images/nfo-app.png	(from https://www.navyfederal.org/)
01:46:12	15056/15056	------	200	untouched ('')	application/octet-stream	etag:%223ad0-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.woff2	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/open-sans/open-sans-v18-latin-700.woff2	(from https://www.navyfederal.org/)
01:46:12	17940/17940	------	200	untouched ('')	application/octet-stream	etag:%224614-60401627b7380-gzip%22	https://www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/roboto-slab/roboto-slab-v6-latin-300.woff2	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/etc.clientlibs/nfculibs/clientlibs/uife/clientlib-uife-nfculibs-site/resources/fonts/roboto-slab/roboto-slab-v6-latin-300.woff2	(from https://www.navyfederal.org/)
01:46:12	321/321	------	301	error ('Moved%20Permanently')	text/html	date:Sat,%2009%20Sep%202023%2004:31:22%20GMT	https://www.navyfederal.org/content/nfo/en/home/checking-savings/savings/certificates.html?intcmp=hp|hero|||cdira|newrates|07112022|||	C:/Users/Trina/OneDrive/Desktop/spam%20pages%20phish/navyfederal/www.navyfederal.org/content/nfo/en/home/checking-savings/savings/certificates.42da02.delayed	(from https://www.navyfederal.org/)
